level,category,number,title,kind,new_path,size_bytes,sha256,original_path
advanced,listening,22,The Dark Side of Avocados,teacher_guide,materials/advanced/listening/listening-22/teacher-guide.pdf,130973,08e9f4853c6499f9447ec9165ba7d9828f7e48dcac229fa044bff78486b6f5e3,advanced/ADVANCED/LISTENING/TEACHER/ADV LISTENING #22 THE DARK SIDE OF AVOCADOS TG.pdf
advanced,listening,23,Machine Learning,student_pdf,materials/advanced/listening/listening-23/student.pdf,89249,48d7738a34c514af6c79aac8450189a8e701c882dc5186497826ef1c743154f9,advanced/ADVANCED/LISTENING/STUDENT/ADV LISTENING #23 MACHINE LEARNING.pdf
advanced,listening,23,Machine Learning,audio,materials/advanced/listening/listening-23/audio.mp3,4337082,8ed7129747657fed4d01ec285166bd70bf8092b0a95a304feacfe83dedbf84f9,advanced/ADVANCED/#U00c1UDIO/LISTENING/ADV LISTENING #23 MACHINE LEARNING.mp3
advanced,listening,23,Machine Learning,teacher_guide,materials/advanced/listening/listening-23/teacher-guide.pdf,119646,a049215c2f7ce2b399725e98373e385740f7aff0b18e62a1f0ad7f1eaff025de,advanced/ADVANCED/LISTENING/TEACHER/ADV LISTENING #23 MACHINE LEARNING TG.pdf
advanced,listening,24,Building Robots in School,student_pdf,materials/advanced/listening/listening-24/student.pdf,97095,4bc24b2d6507186751c28b7aca461f88587a8a70b492d941fefd86065a8ca43f,advanced/ADVANCED/LISTENING/STUDENT/ADV LISTENING #24 BUILDING ROBOTS IN SCHOOL.pdf
advanced,listening,24,Building Robots in School,audio,materials/advanced/listening/listening-24/audio.mp3,3712004,b7426f480bb81240c153d5d708fe41f50aed5be0c8534219e3ecb09e1364bd79,advanced/ADVANCED/#U00c1UDIO/LISTENING/ADV LISTENING #24 BUILDING ROBOTS IN SCHOOL.mp3
advanced,listening,24,Building Robots in School,teacher_guide,materials/advanced/listening/listening-24/teacher-guide.pdf,130933,3a8752946c7100098306b92aa0e87cac20ca7469de188d16d6a0614dccd48a9a,advanced/ADVANCED/LISTENING/TEACHER/ADV LISTENING #24 BUILDING ROBOTS IN SCHOOL TG.pdf
advanced,listening,25,The Mongol Empire,student_pdf,materials/advanced/listening/listening-25/student.pdf,88384,c53b01bd99dd3696c0d5401f8b3519db043db7078063f40692e87bd74e3a2bba,advanced/ADVANCED/LISTENING/STUDENT/ADV LISTENING #25 THE MONGOL EMPIRE .pdf
advanced,listening,25,The Mongol Empire,audio,materials/advanced/listening/listening-25/audio.mp3,2059977,56cbaac5e6803c6b8e957087d35a5d50161123c5828786cf27f9377a73af48c0,advanced/ADVANCED/#U00c1UDIO/LISTENING/ADV LISTENING #25 THE MONGOL EMPIRE.mp3
advanced,listening,25,The Mongol Empire,teacher_guide,materials/advanced/listening/listening-25/teacher-guide.pdf,125495,aa53ce8026055c4c4f8af8d75693a3dae9aab505d165e82ffc16ef75580063c2,advanced/ADVANCED/LISTENING/TEACHER/ADV LISTENING #25 THE MONGOL EMPIRE TG.pdf
