level,category,number,title,kind,new_path,size_bytes,sha256,original_path
intermediate,listening,26,A Rough Meeting,audio,materials/intermediate/listening/listening-26/audio.mp3,1813240,d05783a2588a4a05533150ceb5c7f5f734bc889a81056f78ed2098a08af0ecad,intermediate/INTERMEDIATE/ÁUDIO /LISTENING/INTER LISTENING #26 A ROUGH MEETING.mp3
intermediate,listening,26,A Rough Meeting,teacher_guide,materials/intermediate/listening/listening-26/teacher-guide.pdf,88245,b0a34d39e53b8b7ca9ffcaea0e2d6a545ac3edc882638e314b82a183a12c8e60,intermediate/INTERMEDIATE/LISTENING/TEACHER/INTER LISTENING #26 A ROUGH MEETING TG.pdf
intermediate,listening,27,Assigning Roles,student_pdf,materials/intermediate/listening/listening-27/student.pdf,89905,553100fc49b93eb74dfa3d47536a396d507537c03edd87fca3e2927ea497fccb,intermediate/INTERMEDIATE/LISTENING/STUDENT/INTER LISTENING #27 ASSIGNING ROLES.pdf
intermediate,listening,27,Assigning Roles,audio,materials/intermediate/listening/listening-27/audio.mp3,2714472,533abb3b19551a05a5be42c28b9c60fc9ab04367d7e73f6ad1fab4d7d518052a,intermediate/INTERMEDIATE/ÁUDIO /LISTENING/INTER LISTENING #27 ASSIGNING ROLES.mp3
intermediate,listening,27,Assigning Roles,teacher_guide,materials/intermediate/listening/listening-27/teacher-guide.pdf,88526,7caa70eef0bd95f0cb175862d9984c51f2ee771ba1df5e5d7c17b13abbb4ec4d,intermediate/INTERMEDIATE/LISTENING/TEACHER/INTER LISTENING #27 ASSIGNING ROLES TG .pdf
intermediate,listening,28,Strengths and Weaknesses,student_pdf,materials/intermediate/listening/listening-28/student.pdf,92364,8c246c56d4651a06d3fb8ac7fd6b9fa8ffa6cd02b3ffafcb6a0faf8f65aac990,intermediate/INTERMEDIATE/LISTENING/STUDENT/INTER LISTENING #28 STRENGTHS AND WEAKNESSES.pdf
intermediate,listening,28,Strengths and Weaknesses,audio,materials/intermediate/listening/listening-28/audio.mp3,2654368,7ee8418f9c2f1863de22de3ebd0693dde96a95a4bb430235a5eaf06d351f435e,intermediate/INTERMEDIATE/ÁUDIO /LISTENING/INTER LISTENING #28 STRENGTHS AND WEAKNESSES.mp3
intermediate,listening,28,Strengths and Weaknesses,teacher_guide,materials/intermediate/listening/listening-28/teacher-guide.pdf,89252,d2c0ad1f8e7289c53a72e6976444f80debd85a1f46c7e174b71198529cadd40e,intermediate/INTERMEDIATE/LISTENING/TEACHER/INTER LISTENING #28 STRENGTHS AND WEAKNESSES TG.pdf
intermediate,listening,29,Negotiating Shipment Dates,student_pdf,materials/intermediate/listening/listening-29/student.pdf,100275,746858ab556f056bca442cd1ae1c493b8ca91495b4d81f353c5140294d0b0ac3,intermediate/INTERMEDIATE/LISTENING/STUDENT/INTER LISTENING #29 NEGOTIATING SHIPMENT DATES.pdf
intermediate,listening,29,Negotiating Shipment Dates,audio,materials/intermediate/listening/listening-29/audio.mp3,1784504,62b90ba077bc53d5d1398ab14d7db952968cfde448139c02eb24d9678c44cef2,intermediate/INTERMEDIATE/ÁUDIO /LISTENING/INTER LISTENING #29 NEGOTIATING SHIPMENT DATES.mp3
intermediate,listening,29,Negotiating Shipment Dates,teacher_guide,materials/intermediate/listening/listening-29/teacher-guide.pdf,87329,198a54d889df6f563a1b23ddc39ecf850e11753c0c062cb1154870b331f91dea,intermediate/INTERMEDIATE/LISTENING/TEACHER/INTER LISTENING #29 NEGOTIATING SHIPMENT DATES TG.pdf
